title, id, link, display, culture, type,medium simple,medium detail, medium, date, origin, link2, topic,animals, period
Pitcher in the form of an animal,edanmdm-fsg_F1916.447,https://asia.si.edu/object/F1916.447/,No,Chinese,Metalwork%Vessel%,metal,bronze,Bronze,206 BCE-220 CE,China,https://asia.si.edu/object/F1916.447/,Art%Animals%Sculpture%Chinese Art%Han dynasty (206 BCE - 220 CE)%,undefined animal(mythical creatures),Han dynasty
Deer-shaped ornament (fragment),edanmdm-fsg_F1916.448,https://asia.si.edu/object/F1916.448/,No,Chinese,Metalwork%Jewelry and Ornament%,metal,bronze with gilding,Bronze with gilding,206 BCE-220 CE,China,https://asia.si.edu/object/F1916.448/,Gilding%Art%Animals%Sculpture%Chinese Art%Inlay%Han dynasty (206 BCE - 220 CE)%,undefined animal(mythical creatures),Han dynasty
Padlock in the form of an animal,edanmdm-fsg_F1916.452,https://asia.si.edu/object/F1916.452/,No,Chinese,Metalwork%Tool and Equipment%,metal,bronze,Bronze,206 BCE-220 CE,China,https://asia.si.edu/object/F1916.452/,Art%Animals%Sculpture%Chinese Art%Han dynasty (206 BCE - 220 CE)%,undefined animal(mythical creatures),Han dynasty
Finial with an animal mask,edanmdm-fsg_F1916.453,https://asia.si.edu/object/F1916.453/,No,Chinese,Metalwork%Jewelry and Ornament%,metal,bronze,Bronze,ca. 1500-1050 BCE,China,https://asia.si.edu/object/F1916.453/,Art%Animals%Sculpture%Chinese Art%Shang dynasty (ca. 1600 - ca. 1050 BCE)%Masks%,undefined animal(mythical creatures),Shang dynasty
A standing deer,edanmdm-fsg_F1916.458,https://asia.si.edu/object/F1916.458/,No,Chinese,Sculpture%Metalwork%,metal,bronze,Bronze,206 BCE-220 CE,Inner Mongolia/Ordos% China,https://asia.si.edu/object/F1916.458/,Art%Animals%Sculpture%Chinese Art%Han dynasty (206 BCE - 220 CE)%,undefined animal(mythical creatures),Han dynasty
Plaque in the form of animals,edanmdm-fsg_F1916.462,https://asia.si.edu/object/F1916.462/,No,Chinese,Metalwork%,metal,bronze with gilding,Bronze with gilding,220-589,Inner Mongolia/Ordos% China,https://asia.si.edu/object/F1916.462/,Period of Division (220 - 589)%Gilding%Art%Animals%Sculpture%Chinese Art%,undefined animal(mythical creatures),Period of Division
Animal statuette,edanmdm-fsg_F1916.709,https://asia.si.edu/object/F1916.709/,No,Buddhists%Chinese,Sculpture%Metalwork%,metal,bronze,Bronze,220-589,China,https://asia.si.edu/object/F1916.709/,Period of Division (220 - 589)%Gilding%Art%Animals%Sculpture%Chinese Art%,undefined animal(mythical creatures),Period of Division
Animal statuette,edanmdm-fsg_F1916.710,https://asia.si.edu/object/F1916.710/,No,Buddhists%Chinese,Sculpture%Metalwork%,metal,bronze with gilding,Bronze% gilding,220-589,China,https://asia.si.edu/object/F1916.710/,Period of Division (220 - 589)%Gilding%Art%Animals%Sculpture%Chinese Art%,undefined animal(mythical creatures),Period of Division
Belt ornament (from a set of eight% F1916.474% 719-724% F1917.558),edanmdm-fsg_F1916.720a-b,https://asia.si.edu/object/F1916.720a-b/,No,Chinese,Jewelry and Ornament%,metal,bronze with gilding,Gilt bronze,960-1127,China,https://asia.si.edu/object/F1916.720a-b/,Gilding%Art%Animals%Chinese Art%Repousse%Northern Song dynasty (960 - 1127)%,undefined animal(mythical creatures),Northern Song dynasty
Belt ornament (from a set of eight% F1916.474% 719-724% F1917.558),edanmdm-fsg_F1916.721a-b,https://asia.si.edu/object/F1916.721a-b/,No,Chinese,Jewelry and Ornament%,metal,bronze with gilding,Gilt bronze,960-1127,China,https://asia.si.edu/object/F1916.721a-b/,Gilding%Art%Animals%Chinese Art%Repousse%Northern Song dynasty (960 - 1127)%,undefined animal(mythical creatures),Northern Song dynasty
A pair of belt plaques,edanmdm-fsg_F1917.269a-b,https://asia.si.edu/object/F1917.269a-b/,No,Chinese,Metalwork%Jewelry and Ornament%,metal,bronze,Bronze,206 BCE-220 CE,Inner Mongolia/Ordos% China,https://asia.si.edu/object/F1917.269a-b/,Art%Animals%Sculpture%Chinese Art%Han dynasty (206 BCE - 220 CE)%,undefined animal(mythical creatures),Han dynasty
Garment hook (<em>daigou</em>)% fragment,edanmdm-fsg_F1917.272,https://asia.si.edu/object/F1917.272/,No,Chinese,Metalwork%,metal,bronze with gilding,Bronze with gilding,206 BCE-220 CE,China,https://asia.si.edu/object/F1917.272/,Gilding%Art%Animals%Sculpture%Chinese Art%Han dynasty (206 BCE - 220 CE)%,undefined animal(mythical creatures),Han dynasty
Wand with a dragon head,edanmdm-fsg_F1917.276,https://asia.si.edu/object/F1917.276/,No,Chinese,Metalwork%,metal,bronze,Bronze,possibly 475-221 BCE,China,https://asia.si.edu/object/F1917.276/,Art%Animals%Inscriptions%Sculpture%Chinese Art%Zhou dynasty (ca. 1050 - 221 BCE)%Warring States period (475 - 221 BCE)%Masks%Dragon%,undefined animal(mythical creatures),Zhou dynasty
Ornament in the form of an animal mask,edanmdm-fsg_F1918.174,https://asia.si.edu/object/F1918.174/,No,Chinese,Metalwork%Jewelry and Ornament%,metal,bronze,Bronze,ca. 1050-221 BCE,China,https://asia.si.edu/object/F1918.174/,Art%Animals%Sculpture%Chinese Art%Zhou dynasty (ca. 1050 - 221 BCE)%Masks%,undefined animal(mythical creatures),Zhou dynasty
Ritual food vessel (gui),edanmdm-fsg_F1924.14a-b,https://asia.si.edu/object/F1924.14a-b/,No,Chinese,Metalwork%Vessel%,metal,bronze,Bronze,late 11th-early 10th century BCE,China,https://asia.si.edu/object/F1924.14a-b/,Western Zhou dynasty (ca. 1050 - 771 BCE)%Art%Animals%Inscriptions%Sculpture%Chinese Art%Masks%Food%,undefined animal(mythical creatures),Western Zhou dynasty
Lidded incense burner (<em>xianglu</em>) with geometric decoration and narrative scenes,edanmdm-fsg_F1947.15a-b,https://asia.si.edu/object/F1947.15a-b/,Yes,Chinese,Metalwork%Vessel%,metal,bronze with inlay,Bronze with gold% silver% turquoise% and carnelian inlay,ca. 2nd century BCE,Henan or Hebei province% China,https://asia.si.edu/object/F1947.15a-b/,Landscapes%Art%Animals%Sculpture%Daoism%Chinese Art%Inlay%Incense%Western Han dynasty (206 BCE - 9 CE)%WWII-era provenance%,undefined animal(mythical creatures),Early Western Han dynasty
Ritual vessel (<em>yi</em>) with cover,edanmdm-fsg_F1961.31a-b,https://asia.si.edu/object/F1961.31a-b/,No,Chinese,Metalwork%Vessel%,metal,bronze with inlay,Bronze with semi-precious stone inlay,6th century BCE,Xingzheng% China,https://asia.si.edu/object/F1961.31a-b/,Art%Animals%Eastern Zhou dynasty (770 - 221 BCE)%Sculpture%Chinese Art%Inlay%WWII-era provenance%,undefined animal(mythical creatures),Eastern Zhou dynasty
Lidded food cauldron (<em>ding</em>) with painted decoration,edanmdm-fsg_F1968.34a-b,https://asia.si.edu/object/F1968.34a-b/,Yes,Chinese,Metalwork%Vessel%,metal,bronze,Bronze,206 BCE-220 CE,China,https://asia.si.edu/object/F1968.34a-b/,Art%Animals%Sculpture%Chinese Art%WWII-era provenance%Painted%Han dynasty (206 BCE - 220 CE)%Food%,undefined animal(mythical creatures),Han dynasty
Axe blade (<em>yue</em>),edanmdm-fsg_F1996.8,https://asia.si.edu/object/F1996.8/,No,Chinese,Metalwork%Tool and Equipment%,metal,bronze,Bronze,11th-10th century BCE,China,https://asia.si.edu/object/F1996.8/,Western Zhou dynasty (ca. 1050 - 771 BCE)%Art%Animals%Sculpture%Chinese Art%WWII-era provenance%Masks%,undefined animal(mythical creatures),Western Zhou dynasty
